landingPagePath,sessions,sessionDuration,avgSessionDuration,bounces,bounceRate,pageViews,avgTimeOnPage,pageViewsPerSession,exits,exitRate
/?fbclid=IwAR3_omILeXNikxvAFHY6U1toByfgDX88xwrUCj_l7fonn9DIJRgGXXU-W9Q,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR3de3rW6jvokDYgOEQldZ68zvVQpfKvSzbjq3yHYU8W9MoURon3eiJXEEc,1,105,277,0,0,2,292,2,1,50
/blog/first-developer-job-advice/?fbclid=IwAR1dkMhDF1bEMiz2F5aBBT6ifKUqLiZpVPj8SJCPgiy1jV2350cHa6K--hE,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0_diyVi-tSwI1r-5ny4B6foifj4NP3w4qsMBODxPqLYJjO_wA80dU9D5o,1,8,0,1,100,1,0,1,1,100
/ai,1,0,0,1,100,1,0,1,1,100
/?CSS launch=&mc_cid=a6b120e689&mc_eid=[UNIQID],1,370,364.5,0,0,8,37,10,1,10.238907849829351
/?fbclid=IwAR1nQgjPO1jBNNKon_Vi9MB_yKe-3UIA21EyVI0JS0qzaUMCdvM-zh064TU,1,0,0,1,100,1,0,1,1,100
/blog/7-reasons-to-study-data-analysis-at-codeclan/?fbclid=IwAR3gPRzf_OrdK4V5iuhijI0lSeiciyW-JpCRFgrGhmO0sXaXEcWebW_XyBg,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR20Rv9Caae0YqIMzDLe4oofMghDoNKaDxX5KSx7QXj5kCHtJsnB5YqxOrE,1,0,0,1,100,1,0,1,1,100
/blog/learning-from-failure/,7,188,39.666666666666664,6,86.95652173913044,10,277,1.0982940698619008,7,90
/about-us/?mc_cid=45d309ea09&mc_eid=956ad236ce,1,2073,2391,0,0,5,464.6666666666667,6,1,16.666666666666664
/blog/category/events/,1,0,48,0,0,4,21.9,3,1,33.33333333333333
/?fbclid=IwAR3udVOKd5aBhD3bWlLyI2eaqkTmsF0_T_5YFrzZLKsgnNwIgl4PhTASeyM,1,0,0,1,100,1,0,1,1,100
/?mc_cid=571d92cf43&mc_eid=410264b892,2,0,0,2,100,2,0,1,2,100
/?fbclid=IwAR1-Wg1WIpSsYqUYgATH_AEF-VWSMQ4EYYcFaEU8kYto0sDsWLnmiVj9RW8,1,12,0,1,100,1,0,1,1,100
/blog/7-reasons-to-study-data-analysis-at-codeclan/?fbclid=IwAR0nUHmgg3Gt43Z5vSlFbiosZ77iiRD3T3_ooJ9dmZYaTR8Ho10Hpy4qRHo,1,0,0,1,100,1,0,1,1,100
/blog/meet-the-team-jessica-longstaff/?fbclid=IwAR1yjuySFsJzMTZ57pCk_jRJEyGPfBdLgWnCR7NKRqgm-LBV-3iaVCwR5tU,1,0,0,1,100,1,0,1,1,100
/blog/meet-emma-from-primary-teacher-to-front-end-developer/?fbclid=IwAR154Wsvujlq6xkQzBK1_KCK5fmwXYLUi_ea3saneVOupLgxDwGvy20iiSM,1,0,0,1,100,1,0,1,1,100
/about-us/become-an-instructor/,241,8268,32,209,88.77755511022045,399,122.45454545454545,1.3636363636363635,241,76
/blog/codeclan-students-changed-career/,11,3743,406,4,36.36363636363637,53,130.82258064516128,4.6,11,22.916666666666664
/blog/digital-development-loan/,14,1222,90.66666666666667,5,41.66666666666667,48,35.8,3.6923076923076925,14,27.966101694915253
/blog/meet-emma-from-primary-teacher-to-front-end-developer/?fbclid=IwAR30I0X-KfAHKk61NSlgzR7slwXeONYazpl-d9mn3wHe4eFb63-dE3L7DLc,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR30yzIVJ_G_J_QIwx4nilo3c5FuApnY6EqAJhoGsH5WmO4Ui_0ds44lvQk,1,0,0,1,100,1,0,1,1,100
/blog/find-inspiration-kats-student-project/,11,957,78.33333333333333,4,40,22,56.44444444444444,2.3098591549295775,11,43.689320388349515
