landingPagePath,goal17Completions,goal13Completions
/courses/learn-javascript/?mc_cid=a8de940045&mc_eid=3012ee4e99,0,0
/courses/learn-javascript/?mc_cid=ce8d09a904&mc_eid=1bf7ec2b12,0,0
/funding/?ct=t(fundingoptions1)&mc_cid=099199af77&mc_eid=8bde88b2b7,0,0
/events/?fbclid=IwAR01mb6Y9pLOeX9Xn_tXFsu1pWTDYey0bSuP73P7iujCaPsnXISpnyMLf-U,0,0
/?fbclid=IwAR2OQ_T5dEXJ_brJ37ZZkXNCjNfZCcl2nsDYQSnNz7uGyUvkgbSS0OUq4TU,0,0
/summer-school-2020/?mc_cid=f4ee631988&mc_eid=57b37507e9,0,0
/blog/codeclan-second-anniversary/,0,0
/funding/?ct=t(fundingoptions1)&mc_cid=099199af77&mc_eid=658def348c,0,0
/courses/ux-design-fundamentals/?fbclid=IwAR0tA_2qACOn89TigIin8E6icB7i5IKTGmkVPbUeBHe4Xq1hzx9yHnZYXww,0,0
/for-employers/graduates-for-hire/?elementor-preview=25475&ver=1591356780,0,0
/?ref=hexometer,0,0
/funding/?ct=t(fundingoptions1)&mc_cid=099199af77&mc_eid=4ce8dd2347,0,0
/?fbclid=IwAR2BYXIK7PMk_pa-vBSWG5DGIycze0QbKC0aWit9940LXiXNHZaAdLeUWaQ,0,0
/blog/career-in-data-paul-van-loon/?fbclid=IwAR0j3xWkRcfds20MRmd1jnkOa6gtC7PJKugH7D-fxWxtfJsemgFztOE45JE,0,0
/courses/short-courses/?fbclid=IwAR3Ov1y6y0PZQAvXOYqJXCTWXzBiLcQeA1KLEasNOjpfWhAY9diHMfFJ68E,0,0
/blog/linda-scott-codeclan-cmo/,0,0
/?fbclid=IwAR0twX9Il1Cj4yrdOw4_zM1hj7EucdrzQk28SaKwGoTD2_egdkaVSgCGs4o,0,0
/courses/managing-data/?fbclid=IwAR0bCXO1yaRRTD5CYfTYnokRbeB0EBkAF4m-jrCadtQsAO4QAAw_DbLtE4s,0,0
/summer-school-2020/?fbclid=IwAR34pHBrm4jqNwC_PLGQ5YOtMbAE65MrvrKXUXSmyxKl0UgsZJVMQeOniCw,0,0
/?fbclid=IwAR2cdXDiiX-oQUqjS8U4GFta7L00VWMThF1-9V-psXZSkoO9sP8_IpqtXy4,0,0
/courses/learn-javascript/?+CSS+launch=&mc_cid=a6b120e689&mc_eid=2fc9f56062,0,0
/courses/managing-growth-with-agile/?ct=t(short+courses+uk)&mc_cid=9e22d3be4a&mc_eid=[UNIQID],1,0
/courses/edinburgh/?fbclid=IwAR0NKVpK8JPrujonG1H0P3kMRC1SHJ1zHjlAWeNBrqzrvdbF67Rt5ecOUkA,0,0
/blog/career-in-data-paul-van-loon/?fbclid=IwAR3iNwtPU8P9PDQxwcdCJBYmHnRSOU7CTmoYIQMRKzNyQIYOJCI-JxlqBeo,0,0
/funding/?ct=t(fundingoptions1)&mc_cid=099199af77&mc_eid=4eae11a7d7,0,0
/funding/?ct=t(fundingoptions1)&mc_cid=099199af77&mc_eid=e447ecf8ff,0,0
/webex,0,0
/blog/meet-the-team-jessica-longstaff/?fbclid=IwAR0ZxmcKnb_gfofqKhcvWzPVsXcPnU4Z_l-GpsJqF9f3BwOOudjnnAHRh5Q,0,0
/courses/professional-software-development/?ct=t(psdpush)&mc_cid=d5b386e77e&mc_eid=bd93c6ffb2,0,0
/webinars/?fbclid=IwAR1zgOILWiT5yAmOWobiuOkCZUB41dAMD516XollVsPEBZfd7beesDmqUKg,0,0
/courses/?ct=t(fundingoptions1)&mc_cid=099199af77&mc_eid=244c642008,0,0
/courses/ux-design-fundamentals/?fbclid=IwAR0FnLLLsHQKjPQLkf0hhsKEj43zj-Oz9YxvIyEJ7E2itJiTSO9yMBxfntY,0,0
/?fbclid=IwAR0Bf6Do3cP0hleY4bLBtD4vrWt0KTeghrDlyQxO6ssLJOx6dKTT-yNvrQQ,0,0
/blog/career-in-data-paul-van-loon/,0,0
/courses/learn-html-css/?fbclid=IwAR0CZmyRKqst-2yixjihz1BwVVwc-c_d61624EgAZGaa-iyKp-GhxL1ZrdQ,0,0
/?fbclid=IwAR2bllYRtoD4qwlHUkKPcUD20sfbxqsF-YjGT05kf3GxdbTdmKJZAH4MVVo,0,0
/summer-school-2020/?fbclid=IwAR2ss5kTWoyV6Hmw-9bA9wUopE9lzbMMzPu9t0ADh3CywXI5zYfUciiMpYM,0,0
/?fbclid=IwAR2JieSstb9-SC_o9sLQWBIFrMhbab-_62gm659-IpcUMxR6ofiaogoMDck,0,0
/courses/short-courses/?fbclid=IwAR3tmbybX693Kbanvz2VB1gv5WD0tCYCB9UIiKrzrkfxbu29cXpdZv0PSY8,0,0
/funding/?ct=t(fundingoptions1)&mc_cid=099199af77&mc_eid=ee6768cc78,0,0
/funding/?ct=t(fundingoptions1)&mc_cid=099199af77&mc_eid=241b329f01,0,0
/pre-course-work/?fbclid=IwAR29e1SZoYCHIzF3xkfbpAGqEngpyJ6sMBTdsmROizPVncAsV39P-rFr6lY,0,0
